scenario,request_type,mean,std,min,max,count
Low,Authorize,0.0,,0.0,0.0,1
Low,Deregistration,0.0,,0.0,0.0,1
Low,Grant,0.0,,0.0,0.0,1
Low,Registration,0.0,,0.0,0.0,1
Low,Relinquishment,0.0,,0.0,0.0,1
Low,Revoke,0.0,,0.0,0.0,1
Medium,Authorize,0.0,,0.0,0.0,1
Medium,Deregistration,0.0,,0.0,0.0,1
Medium,Grant,0.0,,0.0,0.0,1
Medium,Registration,0.0,,0.0,0.0,1
Medium,Relinquishment,0.0,,0.0,0.0,1
Medium,Revoke,0.0,,0.0,0.0,1
High,Authorize,0.0,,0.0,0.0,1
High,Deregistration,0.0,,0.0,0.0,1
High,Grant,0.0,,0.0,0.0,1
High,Registration,0.0,,0.0,0.0,1
High,Relinquishment,0.0,,0.0,0.0,1
High,Revoke,0.0,,0.0,0.0,1
Stress,Authorize,0.0,,0.0,0.0,1
Stress,Deregistration,0.0,,0.0,0.0,1
Stress,Grant,0.0,,0.0,0.0,1
Stress,Registration,0.0,,0.0,0.0,1
Stress,Relinquishment,0.0,,0.0,0.0,1
Stress,Revoke,0.0,,0.0,0.0,1
Extreme,Authorize,0.0,,0.0,0.0,1
Extreme,Deregistration,0.0,,0.0,0.0,1
Extreme,Grant,0.0,,0.0,0.0,1
Extreme,Registration,0.0,,0.0,0.0,1
Extreme,Relinquishment,0.0,,0.0,0.0,1
Extreme,Revoke,0.0,,0.0,0.0,1
