scenario,request_type,run,error_rate_mean,error_rate_std,error_rate_min,error_rate_max
Low,Authorize,1,0.0,0.0,False,False
Low,Deregistration,1,0.0,0.0,False,False
Low,Grant,1,0.0,0.0,False,False
Low,Registration,1,0.0,0.0,False,False
Low,Relinquishment,1,0.0,0.0,False,False
Low,Revoke,1,0.0,0.0,False,False
Medium,Authorize,1,0.0,0.0,False,False
Medium,Deregistration,1,0.0,0.0,False,False
Medium,Grant,1,0.0,0.0,False,False
Medium,Registration,1,0.0,0.0,False,False
Medium,Relinquishment,1,0.0,0.0,False,False
Medium,Revoke,1,0.0,0.0,False,False
High,Authorize,1,0.0,0.0,False,False
High,Deregistration,1,0.0,0.0,False,False
High,Grant,1,0.0,0.0,False,False
High,Registration,1,0.0,0.0,False,False
High,Relinquishment,1,0.0,0.0,False,False
High,Revoke,1,0.0,0.0,False,False
Stress,Authorize,1,0.0,0.0,False,False
Stress,Deregistration,1,0.0,0.0,False,False
Stress,Grant,1,0.0,0.0,False,False
Stress,Registration,1,0.0,0.0,False,False
Stress,Relinquishment,1,0.0,0.0,False,False
Stress,Revoke,1,0.0,0.0,False,False
Extreme,Authorize,1,0.0,0.0,False,False
Extreme,Deregistration,1,0.0,0.0,False,False
Extreme,Grant,1,0.0,0.0,False,False
Extreme,Registration,1,0.0,0.0,False,False
Extreme,Relinquishment,1,0.0,0.0,False,False
Extreme,Revoke,1,0.0,0.0,False,False
