scenario,request_type,mean,std,min,max,count
Low,Authorize,16.15,,16.15,16.15,1
Low,Deregistration,11.1,,11.1,11.1,1
Low,Grant,14.6,,14.6,14.6,1
Low,Registration,15.05,,15.05,15.05,1
Low,Relinquishment,14.35,,14.35,14.35,1
Low,Revoke,11.05,,11.05,11.05,1
Medium,Authorize,71.33,,71.33,71.33,1
Medium,Deregistration,67.56,,67.56,67.56,1
Medium,Grant,83.37,,83.37,83.37,1
Medium,Registration,88.57,,88.57,88.57,1
Medium,Relinquishment,80.0,,80.0,80.0,1
Medium,Revoke,57.1,,57.1,57.1,1
High,Authorize,226.87666666666667,,226.87666666666667,226.87666666666667,1
High,Deregistration,211.57,,211.57,211.57,1
High,Grant,226.43666666666667,,226.43666666666667,226.43666666666667,1
High,Registration,227.43333333333334,,227.43333333333334,227.43333333333334,1
High,Relinquishment,221.86,,221.86,221.86,1
High,Revoke,189.5,,189.5,189.5,1
Stress,Authorize,395.648,,395.648,395.648,1
Stress,Deregistration,354.912,,354.912,354.912,1
Stress,Grant,348.792,,348.792,348.792,1
Stress,Registration,361.306,,361.306,361.306,1
Stress,Relinquishment,359.112,,359.112,359.112,1
Stress,Revoke,335.748,,335.748,335.748,1
Extreme,Authorize,932.183,,932.183,932.183,1
Extreme,Deregistration,696.615,,696.615,696.615,1
Extreme,Grant,717.289,,717.289,717.289,1
Extreme,Registration,713.6,,713.6,713.6,1
Extreme,Relinquishment,705.699,,705.699,705.699,1
Extreme,Revoke,679.684,,679.684,679.684,1
