scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Low,Authorize,1,16.15,11.0,14.669248177915021,9.0,59.0,27.300000000000047,57.1,58.62
Low,Deregistration,1,11.1,11.0,2.531901719220056,8.0,17.0,14.200000000000003,16.05,16.81
Low,Grant,1,14.6,14.0,4.0183788299577525,9.0,25.0,19.1,20.250000000000004,24.049999999999994
Low,Registration,1,15.05,14.0,4.957450533235171,8.0,30.0,21.1,22.400000000000006,28.47999999999999
Low,Relinquishment,1,14.35,15.0,3.8289066736849926,7.0,25.0,17.300000000000004,20.250000000000004,24.049999999999994
Low,Revoke,1,11.05,11.0,2.9995613714429368,4.0,17.0,14.300000000000004,17.0,17.0
Medium,Authorize,1,71.33,59.0,32.5682050441528,31.0,216.0,119.60000000000005,143.14999999999998,150.66000000000034
Medium,Deregistration,1,67.56,68.5,17.257011457504582,20.0,121.0,84.10000000000001,100.05,120.01
Medium,Grant,1,83.37,82.0,17.780169977940155,23.0,144.0,104.0,121.1,135.09000000000003
Medium,Registration,1,88.57,83.0,22.647164069791174,42.0,150.0,118.50000000000004,135.49999999999997,149.01
Medium,Relinquishment,1,80.0,77.0,15.44687866871688,37.0,126.0,98.30000000000003,103.0,126.0
Medium,Revoke,1,57.1,58.0,19.481407868150917,14.0,118.0,77.10000000000001,100.1,118.0
High,Authorize,1,226.87666666666667,201.5,102.50351876930463,121.0,828.0,369.1,394.05,632.7099999999984
High,Deregistration,1,211.57,195.0,91.18325716906513,37.0,685.0,248.30000000000007,369.0,679.01
High,Grant,1,226.43666666666667,206.0,79.89532861189214,92.0,682.0,294.1,379.0,677.03
High,Registration,1,227.43333333333334,207.0,88.20157186706837,84.0,682.0,302.60000000000036,394.05,681.0
High,Relinquishment,1,221.86,205.0,86.60227236392426,59.0,685.0,277.0,375.5000000000001,680.02
High,Revoke,1,189.5,181.0,58.58113317339977,14.0,439.0,255.20000000000005,278.05,411.04999999999995
Stress,Authorize,1,395.648,332.0,194.5321093782677,133.0,1676.0,561.0,687.3499999999997,1360.6599999999994
Stress,Deregistration,1,354.912,328.5,105.64139560290681,44.0,743.0,492.0,593.05,676.6399999999994
Stress,Grant,1,348.792,328.5,100.85025674022421,149.0,732.0,484.0,547.9499999999991,671.03
Stress,Registration,1,361.306,335.0,114.07301903317315,92.0,740.0,502.1,616.1499999999999,703.0
Stress,Relinquishment,1,359.112,331.0,109.65365156986432,108.0,743.0,502.4000000000001,589.05,735.01
Stress,Revoke,1,335.748,313.0,103.19629570335258,26.0,744.0,476.0,541.3499999999997,672.01
Extreme,Authorize,1,932.183,737.0,920.3071948234697,129.0,7416.0,1143.5,1609.2999999999952,6463.09
Extreme,Deregistration,1,696.615,672.5,217.55225523712403,36.0,1487.0,985.1,1105.0,1304.029999999999
Extreme,Grant,1,717.289,683.5,207.5873743679923,106.0,1485.0,1013.0,1137.0,1223.5099999999995
Extreme,Registration,1,713.6,689.0,201.64471376802962,108.0,1484.0,949.0,1107.6499999999994,1292.05
Extreme,Relinquishment,1,705.699,677.5,201.85045455734056,84.0,1792.0,935.1,1103.05,1220.02
Extreme,Revoke,1,679.684,669.0,212.29095504423543,16.0,1487.0,938.1,1050.0,1220.0
