scenario,request_type,run,count,mean,p50,p90,p99,std
sas_full_flow_extreme,Authorize,1,1000,932.183,737.0,1143.5,6463.09,920.3071948234696
sas_full_flow_extreme,Deregistration,1,1000,696.615,672.5,985.1,1304.029999999999,217.5522552371239
sas_full_flow_extreme,Grant,1,1000,717.289,683.5,1013.0,1223.5099999999995,207.58737436799245
sas_full_flow_extreme,Registration,1,1000,713.6,689.0,949.0,1292.05,201.64471376802962
sas_full_flow_extreme,Relinquishment,1,1000,705.699,677.5,935.1,1220.02,201.8504545573406
sas_full_flow_extreme,Revoke,1,1000,679.684,669.0,938.1,1220.0,212.29095504423552
sas_full_flow_high,Authorize,1,300,226.87666666666667,201.5,369.1,632.7099999999984,102.50351876930468
sas_full_flow_high,Deregistration,1,300,211.57,195.0,248.30000000000007,679.01,91.18325716906517
sas_full_flow_high,Grant,1,300,226.43666666666667,206.0,294.1,677.03,79.89532861189213
sas_full_flow_high,Registration,1,300,227.43333333333334,207.0,302.60000000000036,681.0,88.20157186706841
sas_full_flow_high,Relinquishment,1,300,221.86,205.0,277.0,680.02,86.60227236392427
sas_full_flow_high,Revoke,1,300,189.5,181.0,255.20000000000005,411.04999999999995,58.58113317339978
sas_full_flow_low,Authorize,1,20,16.15,11.0,27.300000000000047,58.62,14.669248177915021
sas_full_flow_low,Deregistration,1,20,11.1,11.0,14.200000000000003,16.81,2.531901719220056
sas_full_flow_low,Grant,1,20,14.6,14.0,19.1,24.049999999999994,4.01837882995775
sas_full_flow_low,Registration,1,20,15.05,14.0,21.1,28.47999999999999,4.957450533235171
sas_full_flow_low,Relinquishment,1,20,14.35,15.0,17.300000000000004,24.049999999999994,3.828906673684992
sas_full_flow_low,Revoke,1,20,11.05,11.0,14.300000000000004,17.0,2.9995613714429363
sas_full_flow_medium,Authorize,1,100,71.33,59.0,119.60000000000005,150.66000000000034,32.56820504415279
sas_full_flow_medium,Deregistration,1,100,67.56,68.5,84.10000000000001,120.01,17.25701145750458
sas_full_flow_medium,Grant,1,100,83.37,82.0,104.0,135.09000000000003,17.780169977940155
sas_full_flow_medium,Registration,1,100,88.57,83.0,118.50000000000004,149.01,22.647164069791174
sas_full_flow_medium,Relinquishment,1,100,80.0,77.0,98.30000000000003,126.0,15.446878668716883
sas_full_flow_medium,Revoke,1,100,57.1,58.0,77.10000000000001,118.0,19.481407868150914
sas_full_flow_stress,Authorize,1,500,395.648,332.0,561.0,1360.6599999999994,194.5321093782677
sas_full_flow_stress,Deregistration,1,500,354.912,328.5,492.0,676.6399999999994,105.64139560290685
sas_full_flow_stress,Grant,1,500,348.792,328.5,484.0,671.03,100.85025674022424
sas_full_flow_stress,Registration,1,500,361.306,335.0,502.1,703.0,114.0730190331731
sas_full_flow_stress,Relinquishment,1,500,359.112,331.0,502.4000000000001,735.01,109.65365156986422
sas_full_flow_stress,Revoke,1,500,335.748,313.0,476.0,672.01,103.19629570335256
