scenario,request_type,run,p95,p99,p999,max,count
Low,Authorize,1,10.0,10.0,10.0,10.0,2
Low,Deregistration,1,11.8,11.96,11.996,12.0,2
Low,Grant,1,10.0,10.0,10.0,10.0,2
Low,Registration,1,10.0,10.0,10.0,10.0,2
Low,Relinquishment,1,10.9,10.98,10.998000000000001,11.0,2
Low,Revoke,1,11.8,11.96,11.996,12.0,2
Medium,Authorize,1,28.2,29.64,29.964000000000006,30.0,5
Medium,Deregistration,1,25.25,25.85,25.985000000000003,26.0,6
Medium,Grant,1,26.2,26.84,26.984,27.0,5
Medium,Registration,1,27.4,28.68,28.968000000000004,29.0,5
Medium,Relinquishment,1,28.0,29.6,29.960000000000004,30.0,5
Medium,Revoke,1,24.75,25.75,25.975000000000005,26.0,6
High,Authorize,1,30.0,30.0,30.0,30.0,14
High,Deregistration,1,30.0,30.0,30.0,30.0,13
High,Grant,1,30.0,30.0,30.0,30.0,14
High,Registration,1,29.35,29.869999999999997,29.987000000000002,30.0,14
High,Relinquishment,1,30.0,30.0,30.0,30.0,13
High,Revoke,1,30.0,30.0,30.0,30.0,13
Stress,Authorize,1,30.95,46.009999999999984,49.601000000000056,50.0,22
Stress,Deregistration,1,33.849999999999994,34.0,34.0,34.0,22
Stress,Grant,1,32.9,33.78,33.978,34.0,23
Stress,Registration,1,32.8,33.78,33.978,34.0,23
Stress,Relinquishment,1,30.0,31.560000000000002,31.956000000000003,32.0,23
Stress,Revoke,1,32.0,34.37,34.93700000000001,35.0,22
Extreme,Authorize,1,38.5,72.54999999999983,97.25500000000034,100.0,46
Extreme,Deregistration,1,40.5,44.84999999999998,47.68500000000004,48.0,46
Extreme,Grant,1,38.699999999999996,42.239999999999995,44.724000000000046,45.0,47
Extreme,Registration,1,40.79999999999998,45.0,45.0,45.0,47
Extreme,Relinquishment,1,36.0,36.55,36.955000000000005,37.0,46
Extreme,Revoke,1,37.8,40.24000000000001,41.82400000000001,42.0,45
