scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Low,Authorize,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
Low,Deregistration,1,10.0,10.0,2.8284271247461903,8.0,12.0,11.6,11.8,11.96
Low,Grant,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
Low,Registration,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
Low,Relinquishment,1,10.0,10.0,1.4142135623730951,9.0,11.0,10.8,10.9,10.98
Low,Revoke,1,10.0,10.0,2.8284271247461903,8.0,12.0,11.6,11.8,11.96
Medium,Authorize,1,20.0,20.0,7.106335201775948,10.0,30.0,26.400000000000002,28.2,29.64
Medium,Deregistration,1,16.666666666666668,20.0,9.373722135132162,1.0,26.0,24.5,25.25,25.85
Medium,Grant,1,20.0,20.0,6.284902544988268,10.0,27.0,25.4,26.2,26.84
Medium,Registration,1,20.0,20.0,6.745368781616021,10.0,29.0,25.8,27.4,28.68
Medium,Relinquishment,1,20.0,20.0,7.0710678118654755,10.0,30.0,26.0,28.0,29.6
Medium,Revoke,1,16.666666666666668,20.0,8.334666560017064,4.0,26.0,23.5,24.75,25.75
High,Authorize,1,21.428571428571427,24.0,8.336336455212535,2.0,30.0,30.0,30.0,30.0
High,Deregistration,1,23.076923076923077,25.0,8.025600065431645,5.0,30.0,29.8,30.0,30.0
High,Grant,1,21.428571428571427,23.5,7.186678763403276,9.0,30.0,30.0,30.0,30.0
High,Registration,1,21.428571428571427,21.5,6.357482396167717,6.0,30.0,28.400000000000002,29.35,29.869999999999997
High,Relinquishment,1,23.076923076923077,25.0,5.894369325346838,13.0,30.0,29.6,30.0,30.0
High,Revoke,1,23.076923076923077,25.0,6.9457605590453335,5.0,30.0,30.0,30.0,30.0
Stress,Authorize,1,22.727272727272727,22.5,8.97181734619617,8.0,50.0,29.900000000000002,30.95,46.009999999999984
Stress,Deregistration,1,22.727272727272727,22.5,6.67748040721533,10.0,34.0,31.0,33.849999999999994,34.0
Stress,Grant,1,21.73913043478261,22.0,7.717850568085932,4.0,34.0,32.0,32.9,33.78
Stress,Registration,1,21.73913043478261,24.0,8.491800276546716,1.0,34.0,31.0,32.8,33.78
Stress,Relinquishment,1,21.73913043478261,21.0,6.552011428175374,11.0,32.0,30.0,30.0,31.560000000000002
Stress,Revoke,1,22.727272727272727,21.0,6.18894419937927,10.0,35.0,31.700000000000006,32.0,34.37
Extreme,Authorize,1,21.73913043478261,17.5,15.783866281193868,4.0,100.0,36.5,38.5,72.54999999999983
Extreme,Deregistration,1,21.73913043478261,20.0,10.17935772391842,2.0,48.0,37.5,40.5,44.84999999999998
Extreme,Grant,1,21.27659574468085,20.0,9.86804709030633,4.0,45.0,38.0,38.699999999999996,42.239999999999995
Extreme,Registration,1,21.27659574468085,20.0,10.143968282035292,6.0,45.0,36.4,40.79999999999998,45.0
Extreme,Relinquishment,1,21.73913043478261,20.5,8.987484588418116,5.0,37.0,36.0,36.0,36.55
Extreme,Revoke,1,22.22222222222222,21.0,9.685717903858821,6.0,42.0,35.6,37.8,40.24000000000001
